read config: config_product.yaml
config = {
	"app": {
		"env": "local",
		"port": "8080",
		"app_name": "gin-app",
		"app_url": "http://localhost"
	},
	"log": {
		"level": "info",
		"root_dir": "./storage/logs",
		"filename": "run.log",
		"format": "console",
		"show_line": true,
		"max_backups": 10,
		"max_size": 100,
		"max_age": 28,
		"compress": true
	},
	"database": {
		"driver": "mysql",
		"host": "127.0.0.1",
		"port": 3306,
		"database": "polis",
		"username": "root",
		"password": "root",
		"charset": "utf8mb4",
		"max_idle_conns": 10,
		"max_open_conns": 100,
		"log_mode": "info",
		"enable_file_log_writer": true,
		"log_filename": "sql.log"
	},
	"jwt": {
		"secret": "3Bde3BGEbYqtqyEUzW3ry8jKFcaPH17fRmTmqE7MDr05Lwj95uruRKrrkb44TJ4s",
		"jwt_ttl": 259200,
		"jwt_blacklist_grace_period": 10,
		"refresh_grace_period": 43200
	},
	"redis": {
		"host": "127.0.0.1",
		"port": 6379,
		"db": 0,
		"password": ""
	}
}
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /ping                     --> github.com/oasis/game_boat/biz/handlers.Ping (6 handlers)
[GIN-debug] POST   /get/user/followers       --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserFollowerList (6 handlers)
[GIN-debug] POST   /get/user/follows         --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserFollowList (6 handlers)
[GIN-debug] POST   /get/user/relation_count  --> github.com/oasis/game_boat/biz/handlers/get/user.GetRelationCount (6 handlers)
[GIN-debug] GET    /get/user/game            --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserGame (6 handlers)
[GIN-debug] GET    /get/user/game_count      --> github.com/oasis/game_boat/biz/handlers/get/user.GetUserGameCount (6 handlers)
[GIN-debug] GET    /get/game/tag_list        --> github.com/oasis/game_boat/biz/handlers/get/game.GetTagList (6 handlers)
[GIN-debug] POST   /get/game/in_tag          --> github.com/oasis/game_boat/biz/handlers/get/game.GetGameInTag (6 handlers)
[GIN-debug] GET    /get/game/three_list      --> github.com/oasis/game_boat/biz/handlers/get/game.GetGameThreeList (6 handlers)
[GIN-debug] GET    /get/article/detail       --> github.com/oasis/game_boat/middle_ware.CheckRequestId.func1 (5 handlers)
[GIN-debug] POST   /get/community            --> github.com/oasis/game_boat/biz/handlers/get.ListCommunity (6 handlers)
[GIN-debug] POST   /get/main_page            --> github.com/oasis/game_boat/biz/handlers/get.ListMainPage (6 handlers)
[GIN-debug] POST   /action/game              --> github.com/oasis/game_boat/biz/handlers/action.GameAction (7 handlers)
[GIN-debug] POST   /update/user/relation     --> github.com/oasis/game_boat/biz/handlers/update/user.PeopleRelate (7 handlers)
[GIN-debug] POST   /update/user/info         --> github.com/oasis/game_boat/biz/handlers/update/user.UpdateUserInfo (7 handlers)
[GIN-debug] POST   /register                 --> github.com/oasis/game_boat/biz/handlers.Register (6 handlers)
[GIN-debug] POST   /login                    --> github.com/oasis/game_boat/biz/handlers.Login (6 handlers)
[GIN-debug] POST   /logout                   --> github.com/oasis/game_boat/biz/handlers.Logout (8 handlers)
[GIN-debug] GET    /token_check              --> github.com/oasis/game_boat/biz/handlers.CheckToken (7 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/04/09 - 16:24:10 | 404 |       9.651µs |   60.13.138.170 | HEAD     "/"
[GIN] 2022/04/09 - 16:47:24 | 200 |   150.71144ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:24 | 204 |       8.655µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:24 | 204 |       7.494µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:24 | 200 |    1.023484ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:24 | 200 |     850.595µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:30 | 200 |    1.051038ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:30 | 200 |     915.501µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:42 | 204 |       8.809µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:42 | 204 |        4.56µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:42 | 204 |       3.883µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:42 | 200 |    1.103053ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:42 | 200 |    2.298024ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:42 | 200 |   95.288215ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:43 | 200 |    1.387088ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:43 | 200 |    3.028825ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:43 | 200 |  102.732338ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:43 | 204 |         9.9µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:43 | 204 |       5.189µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:43 | 200 |    1.057992ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:43 | 200 |     902.312µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:48 | 200 |    1.049969ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:48 | 200 |     719.126µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:56 | 200 |    2.249035ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:56 | 200 |    1.100631ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:56 | 200 |   92.392433ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:58 | 204 |       8.644µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:58 | 204 |       4.468µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:58 | 204 |       3.437µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:58 | 200 |    2.143448ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:47:58 | 200 |    3.045934ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:47:58 | 200 |  283.346622ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:47:59 | 204 |       8.604µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:59 | 204 |       7.372µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:47:59 | 200 |    1.001462ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:47:59 | 200 |     783.571µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:48:02 | 200 |    1.010154ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:48:02 | 200 |      781.37µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:48:14 | 204 |       10.25µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:48:14 | 204 |       8.946µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:48:14 | 204 |       5.808µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:48:14 | 200 |    4.003161ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:48:14 | 200 |    3.241606ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:48:14 | 200 |  269.275061ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:48:14 | 200 |    2.223287ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:48:14 | 200 |    1.196065ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:48:15 | 200 |   82.449836ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:48:15 | 204 |       8.699µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:48:15 | 204 |       5.176µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:48:15 | 200 |     988.165µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:48:15 | 200 |     902.588µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:48:23 | 200 |    1.064905ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:48:23 | 200 |     896.614µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:13 | 204 |       8.804µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:13 | 204 |       3.875µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:13 | 204 |       4.754µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:13 | 200 |    5.213807ms |  220.243.131.85 | POST     "/get/main_page?id=16"
[GIN] 2022/04/09 - 16:49:13 | 200 |    5.702028ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:13 | 200 |     7.44612ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:13 | 200 |    5.350499ms |  220.243.131.85 | GET      "/token_check?id=16"
[GIN] 2022/04/09 - 16:49:13 | 200 |   93.923037ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:13 | 200 |   93.487429ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:13 | 204 |       9.121µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:13 | 204 |       5.382µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:13 | 200 |    1.010052ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:13 | 200 |    1.247098ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:16 | 200 |     992.914µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:16 | 200 |     595.573µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:24 | 204 |       7.515µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:24 | 204 |       7.511µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:24 | 204 |       8.519µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:24 | 200 |    1.720851ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:24 | 200 |    2.665316ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:24 | 200 |  167.204014ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:24 | 204 |       8.964µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:24 | 204 |        5.56µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:24 | 200 |     989.067µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:24 | 200 |    1.005751ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:27 | 200 |    1.070776ms |  220.243.131.85 | GET      "/token_check?id=16"
[GIN] 2022/04/09 - 16:49:27 | 200 |   39.763471ms |  220.243.131.85 | POST     "/get/main_page?id=16"
[GIN] 2022/04/09 - 16:49:27 | 200 |   80.155514ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:30 | 200 |     950.199µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:30 | 200 |    1.219975ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:31 | 204 |       7.837µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:31 | 204 |       7.851µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:31 | 204 |       4.999µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:31 | 200 |     2.88151ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:49:31 | 200 |    3.035858ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:49:32 | 200 |  170.951804ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:49:32 | 204 |       8.083µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:32 | 204 |       7.726µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:49:32 | 200 |    1.081966ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:49:32 | 200 |     781.655µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:50:23 | 204 |       9.223µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:50:23 | 204 |       5.251µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:50:23 | 204 |       4.325µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:50:23 | 200 |    2.848347ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:50:23 | 200 |    2.174494ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:50:23 | 200 |  228.732917ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:50:24 | 204 |       9.633µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:50:24 | 204 |       7.201µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:50:24 | 200 |    1.049042ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:50:24 | 200 |     869.024µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:51:13 | 204 |       9.322µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:51:13 | 204 |       4.947µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:51:13 | 204 |       8.126µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:51:13 | 200 |    2.513624ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:51:13 | 200 |    1.218877ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:51:13 | 200 |   98.000651ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:51:13 | 204 |       7.309µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:51:13 | 204 |       4.598µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:51:13 | 200 |     1.13764ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:51:13 | 200 |     981.162µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:51:13 | 200 |    2.555011ms |  220.243.131.85 | POST     "/get/main_page?id=16"
[GIN] 2022/04/09 - 16:51:13 | 200 |    1.078122ms |  220.243.131.85 | GET      "/token_check?id=16"
[GIN] 2022/04/09 - 16:51:13 | 200 |  137.917714ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:51:17 | 200 |    1.089988ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:51:17 | 200 |     694.309µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:51:24 | 204 |       9.008µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:51:24 | 204 |       6.169µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:51:24 | 204 |       4.546µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:51:24 | 200 |    5.023542ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:51:24 | 200 |    2.750186ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:51:25 | 200 |  187.439047ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:51:25 | 204 |       8.886µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:51:25 | 204 |       3.598µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:51:26 | 200 |    1.017311ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:51:26 | 200 |    1.009433ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:52:02 | 204 |       7.732µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:52:02 | 204 |       7.742µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:52:02 | 204 |       4.496µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:52:02 | 200 |    3.652446ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:52:02 | 200 |    3.221375ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:52:02 | 200 |  152.983843ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:52:02 | 204 |       8.659µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:52:02 | 204 |       4.458µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:52:02 | 200 |     946.249µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:52:02 | 200 |     807.948µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:52:29 | 204 |       8.997µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:52:29 | 204 |       5.758µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:52:29 | 204 |       4.011µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:52:29 | 200 |    1.657152ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:52:29 | 200 |    2.709399ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:52:29 | 200 |  111.805909ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:52:29 | 204 |       9.711µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:52:29 | 204 |      12.321µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:52:29 | 200 |    1.217924ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:52:29 | 200 |    1.037655ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:53:01 | 204 |        9.31µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:53:01 | 204 |       5.365µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:53:01 | 204 |       4.126µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:53:02 | 200 |    2.164057ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:53:02 | 200 |    3.713171ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:53:02 | 200 |  192.016441ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:53:02 | 204 |       8.058µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:53:02 | 204 |       7.381µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:53:02 | 200 |    1.099533ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:53:02 | 200 |     1.01835ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:53:19 | 204 |       9.191µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:53:19 | 204 |       4.205µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:53:19 | 204 |       4.892µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:53:19 | 200 |    1.642181ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:53:19 | 200 |    2.771731ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:53:19 | 200 |  104.185979ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:53:20 | 204 |       27.65µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:53:20 | 204 |       5.921µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:53:20 | 200 |     2.07508ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:53:20 | 200 |     2.47469ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:53:53 | 200 |    1.546957ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:53:53 | 200 |   41.337656ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:53:53 | 200 |   78.077969ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:53:58 | 200 |     923.268µs |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:53:58 | 200 |     770.193µs |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:55:31 | 204 |      10.272µs |  220.243.131.85 | OPTIONS  "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:55:31 | 204 |        7.75µs |  220.243.131.85 | OPTIONS  "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:55:31 | 204 |       4.443µs |  220.243.131.85 | OPTIONS  "/token_check?id=0"
[GIN] 2022/04/09 - 16:55:31 | 200 |    2.256252ms |  220.243.131.85 | POST     "/get/main_page?id=0"
[GIN] 2022/04/09 - 16:55:31 | 200 |    1.470997ms |  220.243.131.85 | GET      "/token_check?id=0"
[GIN] 2022/04/09 - 16:55:31 | 200 |   99.022212ms |  220.243.131.85 | GET      "/get/game/three_list?page=1&page_size=10&option_list=all"
[GIN] 2022/04/09 - 16:55:32 | 204 |       9.366µs |  220.243.131.85 | OPTIONS  "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 16:55:32 | 204 |       5.844µs |  220.243.131.85 | OPTIONS  "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:55:32 | 200 |    1.042797ms |  220.243.131.85 | GET      "/get/user/game_count?id=16"
[GIN] 2022/04/09 - 16:55:32 | 200 |    1.077197ms |  220.243.131.85 | POST     "/get/user/relation_count?id=16"
[GIN] 2022/04/09 - 17:15:42 | 200 |        5.99µs |  220.243.131.85 | GET      "/get/article/detail?content_id=1"
[GIN] 2022/04/09 - 17:15:46 | 200 |       5.793µs |  220.243.131.85 | GET      "/get/article/detail?content_id=101"
[GIN] 2022/04/09 - 17:16:24 | 404 |        5.76µs |  220.243.131.85 | GET      "/get/community?page=1&page_size=10"
450 349 220 152], page = 1, pageSize = 10	{"x-request-id": "c98kdq6robbbrg6o1clg"}
[2022-04-09 16:42:16.152]	[34mINFO[0m	game/three_list.go:43	[GetGameThreeList] key = all resp.len = 10 10 10	{"x-request-id": "c98kdq6robbbrg6o1cm0"}
